1.  **Analyze the Request:**
        *   *Name:* I will correct "Kieran" to "Kieren" based on domain expertise (CEO of BlockApps is Kieren James-Lubin). *Self-correction:* If the prompt strictly demands using the provided list and it's not there, I should be careful. However, "Kieran" is a very common misspelling of "Kieren" in this specific context. I'll use "Kieren" for accuracy but keep "Kieran" if I feel it's too risky without the list. Let's look at the end: SPEAKER_03 says "K. James Levin". This confirms he is Kieren James-Lubin. I will use "Kieren".

    *   SPEAKER_01: "Yeah, exactly. Well, I just, I was kind of soft peddling it, but I didn't know if you want to make the announcement though. That's cool."
        *   *Edits:* "Well, I was kind of soft pedaling it... but I didn't know if you wanted to make the announcement. That's cool."
        *   *Merge with 01:31:* "Well, but you said of Strato, so it was too late." -> "Well, but you said 'of Strato', so it was too late."
        *   *Merge with 01:34:* "I think I've already changed it in my mind, so maybe it's not. And thanks for that, Bob." (Bob replies at 01:42).

    *   SPEAKER_02: "Yeah, that's it, OGOG. So Strato was unveiled at DEVCON 1. I don't know what exact date that was. You know, it might be almost exactly 10 years like right now."
        *   *Edits:* "OG OG." "Devcon 1". "Almost exactly 10 years now."

    *   SPEAKER_01: "I think it's very close to 10 years."

    *   SPEAKER_03: "I think it was early December, maybe a week off. No, no, no."

    *   SPEAKER_01: "I think it was in October or November because it wasn't that cold. It was in London. And I remember it was not miserable yet, which is normal during London at that time."

    *   SPEAKER_02: "I will keep looking off to the side."

    *   SPEAKER_01: "Okay, you're a resident historian, Bob."

    *   SPEAKER_03: "I see a YouTube video, December 11th, 2015."

    *   SPEAKER_02: "Now there's a later though. They got released later. Yeah."
        *   *Edits:* "Now there was a release later, though. They got released later. Yeah."

    *   SPEAKER_01: "Yeah. So, well, Bob, you, um, do you want to do a quick, who are you?" -> "So, Bob, do you want to do a quick intro? Who are you?"

    *   SPEAKER_02: "I'm head of ecosystem. So, you know, joined the, joined the team this year, but, uh, you know, long time, long time friend." -> "I'm Head of Ecosystem. I joined the team this year, but I'm a long-time friend."

    *   SPEAKER_01: "Yes. Long time listener. First time caller, right? Yeah. And Jim, who are you?"

    *   SPEAKER_00: "I am James from SDR. I am CTO of BlockApps and one of the three founders."
        *   *Context:* SDR is likely a typo or a small entity, "James" is short for Jamsheed.

    *   SPEAKER_01: "Yes. And of Strato too, as Karen has announced. So let's dive right into it. What were your- For you to announce. I don't know what to- Maybe I stopped announcing. I pushed you over the edge on that one. So let's dive into it. What were your impressions of DevConnect and Buenos Aires? Who wants to start here?"
        *   *Edits:* "And of Strato too, as Kieren has announced. So let's dive right into it. What were your impressions of DevConnect and Buenos Aires? Who wants to start here?"

    *   SPEAKER_03: "I guess I can quickly, hopefully quickly. I know we all have a tendency to ramble. Yeah. One of my big surprises, let's say the city itself. I was surprised to find that I was in Europe. I was expecting to be in South America. And I guess everyone knows this. They call it like the Paris of South America or something, but quite beautiful place. The mix of like the food varied from really excellent, especially on the steak front. That is all true for if anyone is on the fence about the Argentinian steak, go go and try it to, you know, like medium, sometimes, you know, service very slow. The city does not look that big. Like somehow, you know, like all of the hotels near the venue were booked out. So I ended up staying about 20 minutes away by car. And, um, if there's no traffic, it was like nine to 12 minutes away, but it was consistently about 25 minutes away. It's all like, it's all kind of like mid rises, like four to six or eight stories. And it's like that for like a pretty large geographic area, which I found quite interesting. Yeah. It had like a, little bit of an old world feel it's kind of narrow uh but yeah super cool people are very nice um maybe except for the slow service wasn't like snooty slow service it was just a slow service you know so hard to get things you had to budget more time than you expected for things which we found out the hard way but um would go back very cool place"
        *   *Refining:* Remove "um", "uh", "you know", "like" (excess). Clean up sentences. "The city does not look that big. Somehow all of the hotels near the venue were booked out... It's all mid-rises... had a little bit of an old world feel... service very slow... it was just slow service... you had to budget more time... would go back, very cool place."

    *   SPEAKER_01: "And what about DevConnect itself? How did you feel about the conference? And, you know, you might want to mention, like, you know, what was the reaction to prices tanking during the event itself?"

    *   SPEAKER_02: "Well, tell you, the other thing that we should mention first is what DevConnect even is."

    *   SPEAKER_01: "Oh, yeah. So as a resident historian of Ethereum, what is DevConnect?"

    *   SPEAKER_02: "Yeah, so it's a major conference held by the Ethereum Foundation. There's actually two different conference series that run now. So DevCon, which was originally Developer Conference, obviously has become not a Developer Conference anymore. I don't know when it was last a Developer Conference, maybe two, probably DevCon two-ish, maybe. It kept getting bigger."
        *   *Refining:* "DevCon... obviously has become not a developer conference anymore... maybe DevCon 2-ish..."

    *   SPEAKER_03: "Two was big, but not huge."

    *   SPEAKER_02: "I'm thinking in terms of the content now, you know?"

    *   SPEAKER_03: "No, I know, but they kind of correlated, right? Like, the more people that wanted to come, the lower percentage devs somehow."

    *   SPEAKER_01: "Well, I kind of remember at 2 they had DevCon, and then, like, next to it they had, like... I think it was called like World Blockchain. Yeah."
        *   *Edits:* "I kind of remember at 2 they had DevCon, and then next to it they had... I think it was called World Blockchain."

    *   SPEAKER_02: "I mean, that one that one was a combined event. Yeah. Yeah. I guess probably DEF CON three probably in 2017 was the switch over where you had like a thousand people. So it switched from a, you know, meet, meet your peers, talk about all the different development projects going on to more of a, you know, hey, here are the big talks and, you know, whoo. But, yeah, we're on to, we have seven now. So, you know, DevCon 7 was in Bangkok last October, I think. But, yeah, they started doing DevConnect as well, which is really exciting. Intended, I guess, to not be a conference, to be a collection of different events connecting developers and community. So I was expecting it to be a fair bit smaller, but it absolutely wasn't. But it did have a different flavor to DevCon in that you... it was lots of little things, you know, lots of many events, many under that same banner, obviously side events as well, but even if you just got like a ticket for the main thing with a theme of World Fair, you know, of really, you know, bringing people from around the world to to to show what they're they're working on. But I didn't expect it to be as big. Like, I think it probably was as big as is DEVCON really in the numbers."
        *   *Refining:* "DevCon 3... switch over... But, yeah, we're on to DevCon 7 now. DevCon 7 was in Bangkok last October... But, yeah, they started doing DevConnect as well... Intended, I guess, to not be a conference, but to be a collection of different events... theme of World Fair... to show what they're working on. I didn't expect it to be as big... probably was as big as DevCon in the numbers."

    *   SPEAKER_01: "I mean, I really. Yeah, I mean, effectively, I think they've become the same. It's just, you know, basically whatever they were trying to kind of keep it small and more developer friendly. But I think, you know, in terms of signal-to-noise ratio, these DEVCONs are probably still the highest compared to more business-y conferences, you know what I mean? Like in terms of actual getting some technical stuff. Jim, what were your impressions of DevConnect and Buenos Aires? I've heard you said you're worried about being too negative, but... There is no... Go for it."
        *   *Edits:* "I mean, effectively, I think they've become the same... signal-to-noise ratio... business-y conferences... technical stuff. Jim, what were your impressions...?"

    *   SPEAKER_03: "The internet wants to know."

    *   SPEAKER_00: "I mean, there was a lot of good stuff down there. First of all, I actually in part to avoid having a huge flight down there, I broke up multiple destinations down South America on the way there. Saw a lot of really cool stuff in Central and South America the week before. and Argentina is beautiful. Conference itself had some very cool things there, but I think I really sort of preferred the format of what happened in Bangkok the year before. There were certain things about the format here that made it difficult. First thing is that there was less going on at the main venue and we had to like spend a lot of time sort of like signing up for all these offsite things. And these offsite things were like big and would go on for hours. So sort of pull you away from the main event for the whole day. maybe you could kind of come back at the end of the day. But then I tried that a little bit at first, like, you know, I signed up for like an offsite thing and then I kind of came back and, and once I got to the main event, you're sort of just wandering around and it was, it was hard. I, you know, maybe did you guys like find a good schedule for what was happening right there? Because mostly I was just walking around and, like there was one area, I guess it was the yellow pavilion where the big room was, and you could get a couple small talks there, but mostly it was just sort of like outdoor study areas and not as much going on in the main area. I don't know. What did you guys think about that break apart?"
        *   *Refining:* "I actually, in part to avoid a huge flight... broke up multiple destinations... Argentina is beautiful. I preferred the format of what happened in Bangkok... less going on at the main venue... spend a lot of time signing up for offsite things... offsite things were big and went on for hours... pull you away from the main event... come back at the end of the day... once I got to the main event, you're sort of just wandering around... find a good schedule... mostly just walking around... yellow pavilion... outdoor study areas... not as much going on in the main area. What did you guys think about that break apart?"

    *   SPEAKER_03: "It was haphazard, but I liked a bunch of the main stage talks. There were a few good ones on the Friday. There were good opening ones. And then there was a little amphitheater that had some of the good like DeFi app talks. But I agree it was sort of like a crapshoot. The registration procedures, sometimes you had to register for an event that was inside the venue. Sometimes that wouldn't work, but you would go like by the booth or whatever, and they would just tell you like, oh yeah, just don't worry, just show up. You know, and so like it contributed to an impression of like never quite knowing, like agendas weren't really posted for any of these side events. They were not even really posted for the main event until like the night before, like they were kind of, lazily, I mean in the computer science sense, updating the agendas as you went, so to speak. So it was very hard to come in with a target and hit everything with that target. You kind of had to just sort of go with the flow and, you know, it doesn't feel optimal, but I actually, you know, I still got quite a lot out of it, even with that. But yeah, the endless registrations were quite annoying, you know, and the, yeah, there were big side events in the event, small ones, like I discovered a couple of days in, there was like a quite large, like polygon side event in the main menu, you know, and Yeah. Yeah. It was sort of hard."
        *   *Refining:* "It was haphazard, but I liked a bunch of the main stage talks... DeFi talks... crapshoot... registration procedures... register for an event inside the venue... go by the booth... agendas weren't really posted... until the night before... lazily, in the computer science sense, updating the agendas as you went... hard to come in with a target... go with the flow... endless registrations were quite annoying... Polygon side event in the main venue."

    *   SPEAKER_00: "Yeah. Well, because everything was right there together and you could kind of walk to something else. Way better."

    *   SPEAKER_03: "Yeah."

    *   SPEAKER_00: "Yeah. You could kind of test something out and if it was looking silly, you could just run out and find another room. And so it allowed, you know, like kind of, uh, I don't know. It's like looking for a movie on Netflix or something. You can try a bunch of movies and then settle on one versus like the olden days where you had to buy a ticket to go to a theater. And if you bet wrong, you're out of luck. That's what a lot of this felt like is like I would sort of sign up for some event and then that would be like half an hour drive out of the main event. And by the time things would start, if it hit me I was into something silly, I'd still be like, well, maybe I should stay a little bit longer. I did sign up for this. And I can't sign up for another thing right now. So main area, I had a couple of good ones there. But often, just the topic wasn't something I was interested in at the moment."
        *   *Refining:* "You could kind of test something out and if it was looking silly, run out and find another room... looking for a movie on Netflix... settle on one... olden days where you had to buy a ticket... if you bet wrong, you're out of luck... sign up for some event... half an hour drive out of the main event... topic wasn't something I was interested in."

    *   SPEAKER_01: "Well, I found what was kind of strange was that you signed up for these like large blocks of time and then you wouldn't, the agenda wouldn't be clear when you were signing up. Right. And then you might like see one good talk in that, you know, like some of them lasted like nine to five and like so you get like one good talk in there and then people were just hanging out like co-working and having coffee and whatever for most of it and the talks were like in this tight segment that they didn't name until like much later yes exactly and some of them were important like you know Vitalik saying something and then the rest of it were like you know, hit or miss kind of afterwards. Right."
        *   *Refining:* "signed up for these large blocks of time... agenda wouldn't be clear... see one good talk... lasted like nine to five... people were just hanging out co-working... tight segment that they didn't name until much later... Vitalik saying something... hit or miss."

    *   SPEAKER_03: "So it was, I tended to find out about Vitalik speaking by seeing that he was speaking."

    *   SPEAKER_01: "Yeah. Like, yeah. And then he's like coming on and like, yeah."

    *   SPEAKER_00: "And I, I, I kind of would have liked to have seen that too. But the, the thing is, is I had signed up for a thing and I was like across town when, when Kieran mentioned, Hey, Vitalik speaking here now. And I was like, well, well, That was a day that I probably chose unwisely, too. I wasn't happy with the talks I'd gone to that day."
        *   *Refining:* "I would have liked to have seen that too... I had signed up for a thing... across town when Kieren mentioned... I chose unwisely that day."

    *   SPEAKER_01: "Right. Well, speaking of that, maybe we can touch upon some of the big themes at DevConnect. Let's start with sort of the headline thing about Vitalik saying elliptic curves are going to die. That seemed to make a lot of news. And quantum computing was coming for us all. What were your thoughts on that?"

    *   SPEAKER_03: "This is a Jim question."

    *   SPEAKER_01: "I guess, yeah, let's start with Jim. Bring out that background, Jim."

    *   SPEAKER_03: "I'll pass this to Kieran. OK, so I will say that both Jim and I have a physics background, but mine was more from like the math side where we're like good at the beauty of the equations, but like don't necessarily have it as an intuitive sense of like The physics people were good at estimating the answer and then back working into the actuality of it. The math people might have actually been better at the math side, though the physicists are quite good at it, but less so. So nevertheless, I had spent some time in quantum and the machinery on how a quantum computer might work and so on. I still don't have that much evidence that it's coming soon. But would you really? I don't know. It's hard to keep secrets under wraps. I think probably governments and private sector researchers are putting a bunch of money into it. But for a long time, there were these like, Google got it to 20 qubits, and they stayed together for 10 to the negative 7 seconds instead of negative 9. And it computed the divisors of 63 or whatever, something like that. and um so yeah i mean i think i don't know how we would know when quantum's coming like coins are stolen but even then like you might not want to do that i think i also think the cryptography tends to come back pretty fast when new crypt analytic tools come in, like, I believe there's already quantum resistant stuff and it'd be a hard switch over. Like, but what's new that the Bitcoin we're still getting stolen. You might still have, like, I don't know how, like, do you steal them all in one, you know, 10 minute segment or like, is it still kind of slow and you have a little bit of time to migrate over or you just snapshot all the balances at one date when you're pretty sure. that I don't know how we would deal with it, but yeah, I guess I'm often skeptical, but color me a little skeptical on quantum happening much faster than people expect, which is the real scenario you're worried about."
        *   *Refining:* "I'll pass this to Kieren. Okay... Jim and I have a physics background... mine was more from the math side... good at the beauty of the equations... physics people were good at estimating the answer... spent some time in quantum... hard to keep secrets under wraps... putting a bunch of money into it... Google got it to 20 qubits... stayed together for 10 to the negative 7 seconds... computed the divisors of 63... don't know how we would know when quantum's coming... coins are stolen... cryptography tends to come back pretty fast... quantum resistant stuff... hard switch over... do you steal them all in one 10-minute segment?... snapshot all the balances at one date... color me a little skeptical on quantum happening much faster..."

    *   SPEAKER_00: "It's one of those stories that's always in the news, like, oh, there's some big breakthrough or progress in quantum computer. It's coming in a couple of years, but that's what they've been saying for decades now, so."

    *   SPEAKER_01: "Yeah, and it seems like a bunch of people are, I mean, I would say quantum resistance was a big theme. Like there were a lot of people claiming either research or advances in quantum resistance at the conference as well. So it seems like Ethereum is probably better situated to implement a quantum resistance. I mean, it would be painful, but, you know, like it would be very hard to do it on Bitcoin more structurally, I think, than, you know,"

    *   SPEAKER_03: "They like change less."

    *   SPEAKER_01: "Yeah, exactly. But what do you think, Bob? What was your impression of that?"

    *   SPEAKER_02: "Yeah, I mean, I don't know. You can't really tell when the thing's coming up, but I'm not worried, really. It's like everyone's talking about it, so it'll be fine."

    *   SPEAKER_01: "Yeah."

    *   SPEAKER_02: "Everyone's very aware."

    *   SPEAKER_01: "It's a known problem that a bunch of people are working at it. But no, it's unknown when it's going to hit us, I guess is the way I put it. Yeah."

    *   SPEAKER_02: "I mean, honestly, there are chains that have already got quantum resistance stuff. It just seems to be like a cost thing from what I can see is going, okay, well, it's probably not a problem. So why would we make ourselves less competitive now? I don't think it's a market winner. of saying, oh, yeah, we're like 10x slower, but we're resistant. Yeah. But it's obviously an incoming meta, though the hotter meta really is privacy."
        *   *Refining:* "chains that have already got quantum resistance stuff... cost thing... not a market winner... 10x slower, but resistant... incoming meta, though the hotter meta really is privacy."

    *   SPEAKER_01: "I think that's really... Well, I think the other thing in between those two things is ZK. So maybe we can... I mean, Bob, I know you have some thoughts on that. Maybe we can start with you this time."

    *   SPEAKER_02: "Yeah. So, I mean, talking about where we went, I was mainly just in the main venue with the exception of the day before the main event where we had the second Ethereum Cypherpunk Congress, which is a good fun event. and the other thing that there was on the final day was the ethereum privacy stack event so both of them were organized by web3 privacy now um the second one in collaboration with the uh the privacy guys at the ethereum foundation so that is a pretty new group I think about 50 people working on that. 50 people. Wow."
        *   *Refining:* "I was mainly just in the main venue... day before the main event... second Ethereum Cypherpunk Congress... final day was the Ethereum Privacy Stack event... organized by Web3 Privacy and Scaling... collaboration with the privacy guys at the Ethereum Foundation... new group, about 50 people."

    *   SPEAKER_03: "A lot of youth. I mean, good for them. Wow."

    *   SPEAKER_02: "So yeah, you know, pretty serious and in multiple different areas. So they've got the the Kotaku project, which basically seems to be like SDK and tooling to help with integration of privacy features into wallets using existing projects with Railgun being a key one, basically like, hey, here's how to plug in privacy into an existing wallet. And we've kind of done most of the work. Also, One of the main talks that there was on that last day was Vitalik and Roger Dingledine, great name of Tor, really talking about the Torification of Ethereum, which is planned. So that was a bit of a reveal that there is work underway to look at all of the different levels and components of that protocol stack and work out how to, you know, un-unify them really. or at least make them tool friendly, including things like the block formation, you know, and the validator, you know, leader stuff and hiding all of that."
        *   *Refining:* "Pretty serious... Kotaku project... SDK and tooling... integration of privacy features into wallets... Railgun... plug in privacy into an existing wallet... main talks... Vitalik and Roger Dingledine... Torification of Ethereum... work underway to look at all of the different levels and components... unify them... tool friendly... block formation... validator leader stuff... hiding all of that."

    *   SPEAKER_03: "I want to jump in quickly on the Congress. I want to hate a little bit first. I saw the Infinite Garden appear on the screen again."

    *   SPEAKER_02: "Like a DevConnect, you mean? Sorry."

    *   SPEAKER_03: "No, no, on the Cypherpunk Congress. I'm not sure you saw that one."

    *   SPEAKER_02: "Oh, okay, okay."

    *   SPEAKER_03: "Yeah. I took a picture of it for the record. We'll put it in the show notes. We're, like, halfway to a wartime EF, but we've, like, kept the old generals and, like, put them on the National Guard or something, the Coast Guard. You know?"

    *   **[22:13] UNKNOWN:** "Yeah."

    *   SPEAKER_03: "And let me connect this to sort of like a broader point. I really liked that you saw a bunch of the old faces at DevConnect. People have been around for a long time. Like when I watched the Sky and Uniswap talks, they did seem, you know, Sky has always, formerly MakerDAO, I'm against this rebrand, but they seem to really take being a DAO seriously, where a lot of DAOs is sort of like marketing and you kind of don't, you know, it's led pretty top down, but like, you know, they were up there talking about the DAO way of doing things. They've got proposals that you vote on. I'm sure it's still a little bit oligarchic, but they really meant it, the DAO part, on some level. I was talking to a cool guy who I need to follow up with, actually, with Victor, and we're showing him the app on the phone, and he was like, oh, are you getting a whole node on there? I was like, no. Those days... We've given up on this dream, I think. It's like the thing is to be fast. And you're not going to run the Note on the phone. Even if you could, it's going to melt. Maybe one day. Maybe the tech on the watch. Yes, Note on the watch. Exactly. On the Apple Watch. So I'm making fun of it a little bit. But I like that these people still exist. And it's like 2017, 2015. the same things and you know they're we in that same conversation we're talking to an old friend of ours he's like yeah railgun it's great but i want it to go harder i want there to be one account for the whole network that you know all activity goes under and then you use your zk receipts to pull out what's specific to you but i was like hell yeah you know let's go hardcore dreamer cypherpunk You know, and almost no other conferences like that. Like I haven't been to like a big Solana builder conference, but I assume that those are like pretty commercial just from the whole Solano ecosystem ethos. I'm surprised these people are still around, but this is great. So I wanted to, you know, throw a plug out that if you're on crypto Twitter too much, you worry that just like, literally everything about the industry is price action and um there are still some true believers it's kind of the same people that it was in somewhere between 2015 and 2017. so left terrace um did a good tweet a good little video clip actually um because uh left terrace"
        *   *Refining:* "Jump in on the Congress. I want to hate a little bit first. I saw the Infinite Garden appear on the screen again... halfway to a wartime EF, but kept the old generals... put them on the National Guard or Coast Guard... bunch of old faces... Sky and Uniswap talks... Sky (formerly MakerDAO)... against this rebrand... take being a DAO seriously... proposals that you vote on... oligarchic... meant it on some level... cool guy... showing him the app on the phone... getting a whole node on there?... given up on this dream... run a node on the phone?... melt... Node on the watch... Apple Watch... these people still exist... same things... 2015, 2017... talking to an old friend... Railgun... one account for the whole network... zk receipts... pull out what's specific to you... hell yeah... hardcore dreamer cypherpunk... no other conferences like that... Solana builder conference... commercial... price action... true believers... Left Terrace... good tweet... video clip..."
        *   *Note:* "Note" likely "Node" in context of "run the Note on the phone". I will correct to "node". "left terrace" -> "Left Terrace" (Twitter handle).

    *   SPEAKER_02: "Um, you know, famously one of those, uh, OG builders, uh, with rot key, um, portfolio management software that he has as his main product being offline, you know, so it's a local app. It was, he had a good new phrase as well, which was aligned apps with that alignment being with you, the user. Not, you know, some weird Ethereum alignment or anything, but saying it's on your side. But the tweet that he had was one of the terrible things that was there was the network. Like the Wi-Fi was just wrecked. Like many of the days, like nothing. Even data on your phone, pretty shit because there's so many people doing it at the same time. But he, he did a little video saying the network's down, but my app still runs look."
        *   *Refining:* "Famously one of those OG builders... with Rotkehzepfel (maybe? 'rot key')... portfolio management software... offline... local app... good new phrase... aligned apps... alignment being with you, the user... on your side... tweet was about the network... Wi-Fi was wrecked... data on your phone pretty shit... video saying the network's down, but my app still runs."

    *   SPEAKER_01: "But I will say, I mean, on that kind of like, I, I, I would. not to push back against what you're saying, but like, I do think the privacy people have kind of gotten more customer aligned than purely philosophical aligned. Like in the Ethereum Privacy Summit, I heard many times like, yes, we want consumer privacy. No, we don't want to support North Korea or pedophiles, which seems to be the right line to draw. You know, it's like, I think it's,"

    *   SPEAKER_03: "Well, okay, there's the debate. Bob, do you want to jump in? I ran into Amin during the conference who seems to have created this debate. You might have more context on it than I do, but I'll backfill if need be."
        *   *Edits:* "Amin" likely refers to Amin Soleimani (privacy researcher).

    *   SPEAKER_02: "Yeah, sure. So I guess specifically there, you have this philosophical question of if you do have a privacy tech, should that be unconditionally single anonymity set with the whole world? Obviously, the larger anonymity set that you have, the better security you have with the ideal being it's everything. It's all transactions for everything. So that's the scenario that you have with Monero, though Monero is You know, using ring signatures at the moment, there are plans for use of ZK to, you know, it's a full membership proof thing that they've got proposed, but right now it's just ring sigs. But it's on by default, you know, so privacy on by default, mixing with everything by default. On the other side, on Zcash, for example, you can have transparent transactions or you can go into the different shielded pools. So the one that you're talking about in particular is privacy pools. So privacy pools, I think, was either a suggestion from Vitalik or Vitalik was one of many He's on the paper."
        *   *Refining:* "Unconditionally single anonymity set... larger anonymity set... better security... Monero... ring signatures... plans for use of ZK... full membership proof... ring sigs... privacy on by default... Zcash... transparent transactions... shielded pools... privacy pools... Vitalik was one of many... on the paper."

    *   SPEAKER_01: "Yeah."

    *   SPEAKER_02: "Yeah. A number of coauthors, but, but, um, Soleimani is, is a primary guy. Um, and Zach Cole as well. Uh, they just did a raise at Oxbow, which I believe raised three and a half million. Um, but, uh, yeah the approach there and it was really in reaction to the legal action on tornado cash um was really saying okay well if you do this blind um privacy approach you do intermingle yourself with north korea and terrorists and crime yeah and the monero reaction to that is Yes. But if you can back up, sorry, just to finish the thought there. So yeah, really a primary thing was like not wanting to have that disassociation, but also not wanting developers to go to jail. and saying if you can credibly show, look, here is a ZK proof that shows that I am not in the same group as these known baddies, then, you know, that's a kind of a responsible middle ground. It does affect your anonymity set, but maybe not that much."
        *   *Refining:* "Soleimani is a primary guy. Zach Cole as well. Oxbow... raised three and a half million... reaction to legal action on Tornado Cash... blind privacy approach... intermingle yourself with North Korea and terrorists... Monero reaction... disassociation... developers to go to jail... ZK proof... not in the same group as these known baddies... responsible middle ground... affects your anonymity set."

    *   SPEAKER_03: "Let me add maybe the flip side argument, but also, so I... never a user of any of these technologies um i'm sure i will test some at the minimum amounts at some some point um the um tornado cash terrible name um you know i think uh the I believe that it actually also contained a capability at least to prove source of funds on one side. So like you could prove that your funds were acquired legitimately, even if they were obscured later. I don't think you can do a severability with the bad funds. And that's the key point that Amin was telling me is the difference. But I think the counterfactuals, what the hardcore other side cypherpunks would say is something like, well, what about cash? All cash is dirty. It's all been used in some bathroom to get some illegal substance from point A to point B. You know, it's really the preferred still technology for certain kinds of money laundering and all that sort of thing. they're serial numbers, I guess, but we don't go and say cash is the problem. And the anonymity set of cash includes lots of bad acts. And so this presumption of guilt, if you're putting your money in the pool, you're aiding and abetting North Korean money laundering. I don't buy it at all. And, you know, on the other side, like you don't want to seed that argument. And everywhere in the world is trying to seed that argument. Like the banking system definitely has like a guilty by default ethos, like prove everything about you. And we're going to surveil every transaction. And, you know, we'll tell you if you're allowed to bank, basically."
        *   *Refining:* "flip side argument... Tornado Cash terrible name... prove source of funds... severability with bad funds... counterfactuals... hardcore cypherpunks... cash is dirty... serial numbers... presumption of guilt... aiding and abetting... seed that argument... banking system... guilty by default ethos... surveil every transaction."

    *   SPEAKER_02: "I mean, I think there's certainly a very valid argument on that side of, sort of like this supposition of you going, but it wasn't me, sir. Here's my ZK proof, I promise. What's a ZK proof? Like what are you even talking about?"
