SPEAKER_01: So, hello.
**[243.0s] SPEAKER_00:** And, yeah, that was a very interesting time. Like, thinking back now, I'm sad I didn't write down more things or take more pictures or appreciate some of the things a little bit more, but I also had no idea that things would get as big as they are now. Um, yeah, but yeah, I enjoyed it a lot. Um, so I mean it was primarily C++ development under Gavin that was happening in that office, right?

**[269.3s] SPEAKER_01:** But also Felix Lange, I know, was there on the Geth team.

**[272.6s] SPEAKER_00:** Yeah, there were some different people. I remember Gustav Simonsen, I think he was doing Go stuff.

**[280.1s] SPEAKER_00:** And yeah, the Solidity team was also there. I think they were under the C++ team back then, but they were there.

**[286.5s] SPEAKER_00:** And Remix as well. Well, Mix, sorry, at the time.

**[289.0s] SPEAKER_00:** Yeah.

**[290.9s] SPEAKER_00:** And I also remember The Mist, I guess. At least Fabian Vogelsteller was also around.

**[296.2s] SPEAKER_00:** So there was a good amount of different people around.

**[300.7s] SPEAKER_00:** And also, quite often people would come and visit from other places. I remember a couple of times Christoph Jentzsch came to visit.

**[310.5s] SPEAKER_00:** There was one time where I think he arrived at midnight or something like that.

**[312.1s] SPEAKER_00:** And there was no one else at the office.

**[316.7s] SPEAKER_00:** I was doing my internship, and I think he wrote late afternoon.

**[319.3s] SPEAKER_00:** He wrote on the Skype channel if there would be someone around and that he was a little bit delayed or whatever.

**[324.6s] SPEAKER_00:** So I was just like, oh, it's fine. I had nothing to do in Berlin anyway.

**[326.6s] SPEAKER_00:** I had the smallest room. Just like a small room with a bed, nothing else basically.

**[334.8s] SPEAKER_00:** So I enjoyed spending a lot of time in the office and I actually had like, I would usually just stay in the office and then just go home and sleep because the office was quite nice.

**[345.5s] SPEAKER_00:** Right, right.

**[347.3s] SPEAKER_00:** Yeah, I had one night where I think I let him into the office at midnight and we had a little bit of a chat.

**[355.3s] SPEAKER_00:** I got to know him.

**[356.5s] SPEAKER_00:** He told me about all the testing he was doing and how they were testing. It was quite interesting.

**[361.9s] SPEAKER_01:** And that's cross-client testing as well, wasn't it?

**[364.1s] SPEAKER_00:** Yeah, if I remember correctly, he was building a lot of JSON data that they fed to the clients.

**[371.0s] SPEAKER_01:** And that was from the C++ client, I know, that cpp-ethereum was leading. And the tests were generated from that, but then running those against the Python and Geth clients.

**[383.5s] SPEAKER_00:** Yeah, that sounds about right.

**[387.2s] SPEAKER_00:** There are a lot of more stories. You told me we don't have too much time. I'll try to keep it short.

**[393.3s] SPEAKER_00:** I would say if I think back to the most interesting things that happened, it was like... Of course, being lucky enough to participate at DevCon 1.

**[403.8s] SPEAKER_00:** Right, yeah.

**[405.2s] SPEAKER_00:** And also experience the kind of split that was taking place at this point in time because the foundation, I think, almost ran out of money.

**[418.7s] SPEAKER_00:** Yeah, that's right.

**[419.7s] SPEAKER_00:** And the C++ team was kind of cut off.

**[423.4s] SPEAKER_01:** And you also had, you know, Ming Chan, her first official date was 1st of August of 2015.

**[431.3s] SPEAKER_01:** So, yeah, you basically had those kind of cost-cutting measures coming in quite fast of looking at the spend. You know, it had been going for a year. It was the July of the previous year that the foundation had been formed and you had the crowd sale, but nearly all of the money was gone in that year.

**[450.6s] SPEAKER_00:** Yeah, and I think that was also maybe not the most responsible, like usage of money, but also the Bitcoin price was doing really poorly.

**[459.2s] SPEAKER_00:** Yeah, that's right.

**[460.1s] SPEAKER_00:** And the Ether price itself was also, I think it dipped below the pre-sale price at some point in September.

**[468.2s] SPEAKER_00:** A year in and you've had no accumulation.

**[472.3s] SPEAKER_00:** But yeah, I didn't have any interactions with Ming back then.

**[476.9s] SPEAKER_00:** Actually, one thing I just remembered now, I was actually supposed to have done my internship on the C++ team in London, but a couple of weeks before that, I was told, sorry, we can't do it anyway because we don't have the money anymore.

**[492.2s] SPEAKER_00:** Right.

**[492.7s] SPEAKER_01:** Well, because they were getting very rapidly the funding or even shut down entirely, I think.

**[497.6s] SPEAKER_00:** Yeah, probably already. Or that was coming.

**[501.8s] SPEAKER_00:** Yeah, so that's why it ended up being the Python team instead because there was some budget.

**[506.7s] SPEAKER_00:** But yeah, like sitting as the only person working on the Python client in that office in my small corner, I had a lot of fun kind of following how people came and went and went into Gavin's office and had a chat there with him in Utah or whatever.

**[527.6s] SPEAKER_00:** And I didn't really know in the beginning what was going on until I was also asked if I wanted to come in and talk.

**[534.4s] SPEAKER_00:** And it was basically like presenting ideas of what would happen next with the C++ team and if we wanted to consider joining there or whatever.

**[547.6s] SPEAKER_01:** So that was sort of the pre-formation of what became Parity, later Parity Technologies.

**[556.6s] SPEAKER_00:** Yeah, I think so.

**[558.6s] SPEAKER_00:** I was witnessing that without knowing what was going on. I had no insight into the finances of the foundation or anything like that.

**[568.6s] SPEAKER_00:** I only found out about most of those things later. But it was quite interesting to see.

**[575.5s] SPEAKER_01:** Yeah, so maybe let's talk about DevCon 1. So the first DevCon was DevCon 0, which happened in November 2014 before your time, which was the closed event, mainly Ethereum Foundation-y people, but some broader ecosystem people.

**[596.4s] SPEAKER_01:** But then DevCon 1 happened in November 2015 in London. It had got announced early in the year and got cancelled because of this funding squeeze, but then Consensus basically stepped up and filled that funding gap and did some organizing, so that was in November of that year. I was not present myself, I couldn't afford to go or whatever at the time, but I watched a lot of the livestream. You know, that was a really very seminal conference. So how was that for you?

**[628.2s] SPEAKER_00:** It was amazing. I've never been good at sitting still on a chair for a long period of time. But there I was at every talk from the beginning in the morning until the end.

**[647.7s] SPEAKER_00:** I think I missed one talk because I had to go catch my flight to go back on the last day. But I was just sitting there and sucking up all of these ideas and visions.

**[659.6s] SPEAKER_00:** And it was really... I think before that I had an idea that I thought it would be interesting to continue working with Ethereum or in the Ethereum space. But after DevCon 1, I was like, I have to do this. There's no other way for me. I'm not going back to the university. I'm not going to do anything else. This is what I'm going to do.

**[676.0s] SPEAKER_00:** Because it was a full day, or three full days, of just sitting there and people presenting their ideas. I remember clearly Maker was presented. I was like, OK, we can do stablecoins. Amazing.

**[691.7s] SPEAKER_00:** I think Fabian Vogelsteller and Alex Van de Sande and some other people presented the ERC20 token standard or the early version of it, which, yeah, OK, this is such a big part of Ethereum now.

**[705.8s] SPEAKER_00:** I think maybe Gnosis, I'm not sure actually. And of course the project I was working on, the people there, we were presenting the Raiden network, which got a lot of very good feedback as well.

**[717.9s] SPEAKER_00:** So it was so interesting. And Hydrochain as well, right?

**[721.0s] SPEAKER_00:** Yeah, I was not so sold on Hydrochain back then because it was aimed at...

**[728.2s] SPEAKER_01:** One of the very first permissioned Ethereum implementations.

**[731.1s] SPEAKER_00:** Exactly. It was like a round-robin kind of algorithm. And now it seems like something people would actually have used these days. So only 10 years too early.

**[742.4s] SPEAKER_00:** But back to DevCon 1, I was just thinking about it after our conversation last night, that DevCon 1, it was just about the technology. I think maybe there were three booths or something like that that just had a couple of stickers. I barely remember. I just remember it was an app. What was the name of the Haskell project?

**[763.4s] SPEAKER_01:** BlockApps Strato.

**[764.6s] SPEAKER_00:** Yeah, I remember they had like a small booth, I think. Right, some stickers. Uh, yeah, very sad that I lost that sticker. But, um, other than that, it was just like, yeah, just people. There was one stage and everyone was like in the same room. More, yes. Um, and in the evenings, yeah, people would go out for dinner, maybe, but there was not a single side event.

**[786.2s] SPEAKER_00:** There was not a single party.

**[788.1s] SPEAKER_00:** Glory days.

**[789.0s] SPEAKER_00:** It was just dinners and a couple of shepherd's pies somewhere.

**[792.8s] SPEAKER_00:** Right.

**[795.1s] SPEAKER_00:** And that was kind of fun.

**[796.1s] SPEAKER_00:** You got to know people really, really well. It was really just the golden days, I felt like. There were so many inspired people and ideas, and people only talked about tech.

**[808.4s] SPEAKER_00:** I think there was like one... a little bit weird product, hype talk with a guy who had a T-shirt gun on the stage, this like Free My Vunk, who had like a very different energy than everybody else.

**[823.5s] SPEAKER_00:** It felt like he was the only one who actually knew how to give a talk and how to actually sell. And back then I thought it was way too much, but now it's basically what everyone else is doing.

**[832.2s] SPEAKER_00:** And the quality of slides was so bad as well. It's funny to look back.

**[835.9s] SPEAKER_00:** But yeah, I was thinking about that and then I was comparing with, let's say, DevCon 2.

**[840.7s] SPEAKER_00:** Right.

**[841.0s] SPEAKER_00:** I think at DevCon 2 there was maybe like a couple of parties, I think ConsenSys had like a bar somewhere where we would usually go.

**[849.9s] SPEAKER_00:** It was still not that big.

**[851.7s] SPEAKER_00:** There was still only one stage, I think, at DevCon 2. There was just one main stage.

**[856.3s] SPEAKER_00:** Yeah, quite doable.

**[857.5s] SPEAKER_00:** And then I think at DevCon 3 in Cancun, that was where you could really feel, okay, now there's a lot of money in this space because there were parties right and left.

**[866.8s] SPEAKER_00:** And yeah, okay, the rest is history, right?

**[869.8s] SPEAKER_00:** That's right.

**[870.1s] SPEAKER_00:** It's been quite crazy to see this development as well of like measuring on the amount of events and parties at the different DevCons, how popular things got.

**[882.1s] SPEAKER_00:** But for me, the DevCon one is like one of my best memories of these 10 years, simply because it was just so inspiring and motivating, I would say.

**[893.9s] SPEAKER_00:** And a lot of the people you have on your list were around there. It's quite cool.

**[902.7s] SPEAKER_00:** And I actually recently found out that someone I got to know or a couple of years ago only, who's also doing some cool stuff. He actually was around there.

**[915.5s] SPEAKER_00:** We didn't meet each other. I only found out like two years ago, but he had also, and he said he didn't see almost any talks because he was sitting in the back trying to get the Go client to run on his machine or something like that because it was not easy back then.

**[930.7s] SPEAKER_00:** It took days. Even if you had the devs available right next to you, it wasn't easy.

**[938.5s] SPEAKER_00:** So I think that's mainly what I have to share without going into too much detail about things.

**[946.6s] SPEAKER_00:** Well, thanks so much.

**[948.1s] SPEAKER_00:** You're very welcome.

**[949.3s] SPEAKER_01:** Great chatting always.

**[950.4s] SPEAKER_01:** Yeah.

**[951.0s] SPEAKER_01:** Okay.

**[951.6s] SPEAKER_01:** All the very best.

**[952.6s] SPEAKER_00:** Thank you.

**[953.0s] SPEAKER_00:** You too.
